 12Z 09 Mar 2017  0.00  11.87
 00Z 10 Mar 2017  0.00  11.89
 12Z 10 Mar 2017  0.00  22.27
 00Z 11 Mar 2017  0.00  19.42
 12Z 11 Mar 2017  0.00  21.99
 00Z 12 Mar 2017  0.00  16.88
 12Z 12 Mar 2017  0.00  20.55
 00Z 13 Mar 2017  0.00  14.85
 12Z 13 Mar 2017  0.00  16.70
 00Z 14 Mar 2017  0.00  13.78
 12Z 14 Mar 2017  0.00  13.77
 00Z 15 Mar 2017  0.00  13.16
 12Z 15 Mar 2017  0.00  13.13
 00Z 16 Mar 2017  0.00  13.09
 12Z 16 Mar 2017  0.00  14.81
 00Z 17 Mar 2017  0.00  13.51
 12Z 17 Mar 2017  0.00  18.16
 00Z 18 Mar 2017  0.00  14.27
 12Z 18 Mar 2017  0.00  18.23
 00Z 19 Mar 2017  0.00  17.83
 12Z 19 Mar 2017  0.00  23.29
 00Z 20 Mar 2017  0.00  18.56
 12Z 20 Mar 2017  0.00  17.25
 00Z 21 Mar 2017  0.00  11.50
 12Z 21 Mar 2017  0.00  12.83
 00Z 22 Mar 2017  0.00  9.12
 12Z 22 Mar 2017  0.00  10.04
 00Z 23 Mar 2017  0.00  10.51
 12Z 23 Mar 2017  0.00  16.48
 00Z 24 Mar 2017  0.00  9.56
 12Z 24 Mar 2017  0.00  5.35
 12Z 25 Mar 2017  0.00  6.99
 12Z 26 Mar 2017  0.00  13.44
 12Z 27 Mar 2017  0.00  14.90
 12Z 28 Mar 2017  0.00  12.77
 12Z 29 Mar 2017  0.00  8.56
 12Z 30 Mar 2017  0.00  8.51
 12Z 31 Mar 2017  0.00  10.35
 12Z 02 Apr 2017  0.00  15.55
 12Z 03 Apr 2017  0.00  8.41
 12Z 04 Apr 2017  0.00  13.15
 12Z 05 Apr 2017  0.00  10.51
 12Z 06 Apr 2017  0.00  5.93
 12Z 07 Apr 2017  0.00  6.33
 12Z 08 Apr 2017  0.00  11.69
 12Z 09 Apr 2017  0.00  6.72
 12Z 10 Apr 2017  0.00  9.99
 12Z 11 Apr 2017  0.00  3.00
 12Z 12 Apr 2017  0.00  5.81
 12Z 13 Apr 2017  0.00  7.28
 12Z 14 Apr 2017  0.00  10.89
 12Z 15 Apr 2017  0.00  11.28
 12Z 16 Apr 2017  0.00  10.66
 12Z 17 Apr 2017  0.00  11.21
 12Z 18 Apr 2017  0.00  10.82
 12Z 19 Apr 2017  0.00  10.15
 12Z 20 Apr 2017  0.00  9.44
 12Z 21 Apr 2017  0.00  7.28
 12Z 22 Apr 2017  0.00  9.40
 12Z 23 Apr 2017  0.00  12.04
 12Z 24 Apr 2017  0.00  13.11
 12Z 28 Apr 2017  168.44  24.28
 12Z 29 Apr 2017  63.57  27.70
 12Z 30 Apr 2017  0.00  6.72
 12Z 01 May 2017  0.00  6.65
 12Z 02 May 2017  0.00  10.08
 12Z 03 May 2017  0.00  13.87
 12Z 04 May 2017  0.00  16.62
 12Z 05 May 2017  0.00  19.94
 12Z 06 May 2017  74.60  18.89
 12Z 07 May 2017  0.00  23.77
 12Z 08 May 2017  0.00  15.40
 12Z 09 May 2017  2.88  21.63
 12Z 10 May 2017  0.00  19.16
 12Z 11 May 2017  0.00  19.13
 12Z 12 May 2017  0.00  14.65
 12Z 13 May 2017  0.00  12.61
 12Z 14 May 2017  0.00  16.54
 12Z 15 May 2017  20.73  22.99
 12Z 16 May 2017  0.00  20.71
 12Z 17 May 2017  0.00  8.40
 12Z 18 May 2017  0.00  14.13
 12Z 19 May 2017  0.00  17.11
 12Z 20 May 2017  0.00  12.17
 12Z 22 May 2017  0.00  10.60
 12Z 23 May 2017  0.00  14.98
 12Z 24 May 2017  0.00  14.65
 12Z 25 May 2017  402.49  20.59
 12Z 26 May 2017  50.58  35.05
 12Z 27 May 2017  0.00  23.43
 12Z 28 May 2017  0.00  9.96
 12Z 29 May 2017  0.00  7.14
 12Z 30 May 2017  0.00  12.74
 12Z 31 May 2017  58.58  14.20
 12Z 01 Jun 2017  287.84  22.13
 12Z 02 Jun 2017  0.00  15.05
 12Z 03 Jun 2017  0.00  14.53
 12Z 04 Jun 2017  0.00  21.73
 12Z 05 Jun 2017  0.00  23.11
 12Z 06 Jun 2017  0.00  24.59
 12Z 07 Jun 2017  0.00  27.01
 12Z 08 Jun 2017  32.86  30.23
 12Z 10 Jun 2017  0.00  15.80
 12Z 11 Jun 2017  838.04  29.69
 00Z 27 Aug 2017  3484.45  59.92
 12Z 27 Aug 2017  805.42  59.92
 12Z 28 Aug 2017  81.52  48.39
 12Z 29 Aug 2017  1164.55  39.71
 12Z 30 Aug 2017  147.47  35.01
 12Z 31 Aug 2017  2505.01  51.53
 12Z 01 Sep 2017  86.64  61.17
 12Z 02 Sep 2017  741.81  67.77
 12Z 03 Sep 2017  1424.43  46.56
 12Z 04 Sep 2017  579.24  51.26
 12Z 05 Sep 2017  4.91  41.56
 12Z 06 Sep 2017  1540.85  50.94
 12Z 07 Sep 2017  3184.50  49.40
 12Z 08 Sep 2017  401.65  50.15
 12Z 09 Sep 2017  2277.37  50.88
 12Z 10 Sep 2017  2164.51  43.85
 12Z 12 Sep 2017  1045.76  54.06
 12Z 13 Sep 2017  1999.69  45.52
 12Z 14 Sep 2017  4106.44  45.66
 12Z 15 Sep 2017  3609.61  46.31
 12Z 16 Sep 2017  3656.80  38.44
 12Z 17 Sep 2017  2989.92  42.93
 12Z 18 Sep 2017  3342.54  57.38
 12Z 19 Sep 2017  2926.81  59.69
 12Z 20 Sep 2017  3467.23  44.29
 12Z 21 Sep 2017  342.21  34.22
 12Z 22 Sep 2017  0.00  32.59
 12Z 24 Sep 2017  0.00  14.84
 12Z 25 Sep 2017  0.00  11.83
 12Z 27 Sep 2017  0.00  17.25
 12Z 28 Sep 2017  0.00  19.29
 12Z 29 Sep 2017  0.00  29.46
 12Z 30 Sep 2017  0.00  32.86
 12Z 01 Oct 2017  0.00  23.55
 12Z 02 Oct 2017  0.00  27.19
 12Z 04 Oct 2017  0.00  44.07
 12Z 05 Oct 2017  0.00  48.37
 12Z 06 Oct 2017  0.00  43.87
 12Z 07 Oct 2017  0.00  27.63
 12Z 08 Oct 2017  174.95  25.39
 12Z 10 Oct 2017  0.00  15.07
 12Z 11 Oct 2017  0.00  30.58
 12Z 12 Oct 2017  2.33  42.25
 12Z 13 Oct 2017  0.00  44.28
 12Z 14 Oct 2017  118.16  46.06
